,CO,DOWNSTREAM,UPSTREAM,DATE_TIME
1150805,ALB,393573213.794923,53181701.230896,2020-03-19 19:15:00
1150806,ALB,424779461.380201,57256043.619387,2020-03-19 19:30:00
1150807,ALB,468843422.77438,75399323.892689,2020-03-19 19:45:00
1150808,ALB,500707986.014469,75936184.507526,2020-03-19 20:00:00
1150809,ALB,536313284.489734,81600132.986286,2020-03-19 20:15:00
1150810,ALB,554598852.624547,87273707.990046,2020-03-19 20:30:00
1150811,ALB,551743090.082503,79000836.597115,2020-03-19 20:45:00
1150812,ALB,561001225.818155,73540489.736623,2020-03-19 21:00:00
1150813,ALB,575890176.827973,74372490.62074,2020-03-19 21:15:00
1150814,ALB,567862518.295614,91632806.924097,2020-03-19 21:30:00
1150815,ALB,573716973.796173,98323074.202349,2020-03-19 21:45:00
1150816,ALB,605690151.147536,102611391.955986,2020-03-19 22:00:00
1150817,ALB,578903365.085143,105016897.062449,2020-03-19 22:15:00
1150818,ALB,518113190.47463,90409579.788415,2020-03-19 22:30:00
1150819,ALB,493486155.636631,76648146.845716,2020-03-19 22:45:00
1150820,ALB,460378732.840004,50684528.618189,2020-03-19 23:00:00
1150821,ALB,433801414.44127,50268468.261956,2020-03-19 23:15:00
1150822,ALB,382757833.88286,69846320.299036,2020-03-19 23:30:00
1150823,ALB,357668579.034684,84108648.147093,2020-03-19 23:45:00
1152168,ALB,323314114.263978,76826526.885843,2020-03-20 00:00:00
1152169,ALB,291312005.733007,78809615.458844,2020-03-20 00:15:00
1152170,ALB,251340368.862461,74237905.963389,2020-03-20 00:30:00
1152171,ALB,221145645.47091,71971410.963427,2020-03-20 00:45:00
1152172,ALB,204246860.560246,62017067.816032,2020-03-20 01:00:00
1152173,ALB,191326489.299861,94696664.076003,2020-03-20 01:15:00
1152174,ALB,179538882.491933,69044957.149999,2020-03-20 01:30:00
1152175,ALB,172927166.488288,53476921.439279,2020-03-20 01:45:00
1152176,ALB,170091976.453664,58002551.433454,2020-03-20 02:00:00
1152177,ALB,154275590.5138,83292948.163485,2020-03-20 02:15:00
1152178,ALB,145009070.075031,75786504.582579,2020-03-20 02:30:00
1152179,ALB,139080502.976116,64970208.050697,2020-03-20 02:45:00
1152180,ALB,134089570.866577,51530902.787562,2020-03-20 03:00:00
1152181,ALB,129998719.665843,54602147.273368,2020-03-20 03:15:00
1152182,ALB,125781684.652073,59451828.159058,2020-03-20 03:30:00
1152183,ALB,121002402.935289,63810093.704298,2020-03-20 03:45:00
1152184,ALB,118939492.760726,68125878.897768,2020-03-20 04:00:00
1152185,ALB,114846337.811558,56998105.380275,2020-03-20 04:15:00
1152186,ALB,111989170.392775,49275762.794364,2020-03-20 04:30:00
1152187,ALB,114093680.258581,52124512.586128,2020-03-20 04:45:00
1152188,ALB,106984280.504194,47456256.153627,2020-03-20 05:00:00
1152189,ALB,110102766.688269,45866621.191291,2020-03-20 05:15:00
1152190,ALB,114215698.705684,45263695.647444,2020-03-20 05:30:00
1152191,ALB,109789561.096318,47383832.056508,2020-03-20 05:45:00
1152192,ALB,121597974.765388,46822216.431969,2020-03-20 06:00:00
1152193,ALB,123159270.448399,48781308.80009,2020-03-20 06:15:00
1152194,ALB,125227574.06374,39608178.519528,2020-03-20 06:30:00
1152195,ALB,129855035.908408,35650094.732666,2020-03-20 06:45:00
1152196,ALB,140494001.401415,36997435.184272,2020-03-20 07:00:00
1152197,ALB,145721400.529886,41170603.420462,2020-03-20 07:15:00
1152198,ALB,164915644.583836,39973193.95806,2020-03-20 07:30:00
1152199,ALB,189089551.410149,49834565.492009,2020-03-20 07:45:00
1152200,ALB,194459192.654948,48603657.094208,2020-03-20 08:00:00
1152201,ALB,217058895.962609,55016003.878004,2020-03-20 08:15:00
1152202,ALB,234124537.46911,57578932.170638,2020-03-20 08:30:00
1152203,ALB,234929665.772389,54899117.592545,2020-03-20 08:45:00
1152204,ALB,256696975.210256,61841047.684516,2020-03-20 09:00:00
1152205,ALB,270272425.643678,71575141.536904,2020-03-20 09:15:00
1152206,ALB,276261103.951624,63182295.439316,2020-03-20 09:30:00
1152207,ALB,286597969.615122,84849313.248424,2020-03-20 09:45:00
1152208,ALB,269070859.182501,67448542.682046,2020-03-20 10:00:00
1152209,ALB,279957091.076798,88675744.505514,2020-03-20 10:15:00
1152210,ALB,281685814.544291,97750631.343189,2020-03-20 10:30:00
1152211,ALB,280317225.084326,78786112.112287,2020-03-20 10:45:00
1152212,ALB,276445691.024082,66193378.582761,2020-03-20 11:00:00
1152213,ALB,301498733.430588,71486744.452184,2020-03-20 11:15:00
1152214,ALB,287432362.664243,76866736.318866,2020-03-20 11:30:00
1152215,ALB,275941169.935728,69669545.194746,2020-03-20 11:45:00
1152216,ALB,283707513.562024,62398413.023228,2020-03-20 12:00:00
1152217,ALB,274084286.486858,67779553.97435,2020-03-20 12:15:00
1152218,ALB,271694509.533753,53786866.728876,2020-03-20 12:30:00
1152219,ALB,282722108.537688,50587553.531635,2020-03-20 12:45:00
1152220,ALB,281055201.772145,45542224.187547,2020-03-20 13:00:00
1152221,ALB,282754156.002148,46418504.538448,2020-03-20 13:15:00
1152222,ALB,287625652.937469,49976196.759289,2020-03-20 13:30:00
1152223,ALB,297503960.317463,47776664.931338,2020-03-20 13:45:00
1152224,ALB,305475587.159659,51669528.253419,2020-03-20 14:00:00
1152225,ALB,316908260.417419,64045929.527326,2020-03-20 14:15:00
1152226,ALB,319494207.504035,66660328.77138,2020-03-20 14:30:00
1152227,ALB,319475427.951327,60502142.828417,2020-03-20 14:45:00
1152228,ALB,299186382.421695,56884373.14652,2020-03-20 15:00:00
1152229,ALB,331724344.695742,58892834.535719,2020-03-20 15:15:00
1152230,ALB,389338119.226942,64928212.436477,2020-03-20 15:30:00
1152231,ALB,397344211.301671,66888951.632524,2020-03-20 15:45:00
1152232,ALB,407909712.280449,54190986.996587,2020-03-20 16:00:00
1152233,ALB,379685403.662747,62306363.010153,2020-03-20 16:15:00
1152234,ALB,395007295.483147,63324757.546685,2020-03-20 16:30:00
1152235,ALB,388814737.167895,59325979.294784,2020-03-20 16:45:00
1152236,ALB,357077578.84325,55855659.273355,2020-03-20 17:00:00
1152237,ALB,351135654.192445,48306033.694835,2020-03-20 17:15:00
1152238,ALB,377374461.815594,47913930.848328,2020-03-20 17:30:00
1152239,ALB,356183224.413118,51966839.779031,2020-03-20 17:45:00
1152240,ALB,351182073.684977,57735816.697918,2020-03-20 18:00:00
1152241,ALB,375105654.554373,57530728.040552,2020-03-20 18:15:00
1152242,ALB,365746246.158461,53644654.881462,2020-03-20 18:30:00
1152243,ALB,377918788.012461,51273782.428301,2020-03-20 18:45:00
1152244,ALB,394613385.329176,46830897.769541,2020-03-20 19:00:00
1152245,ALB,399207979.528338,69672961.092269,2020-03-20 19:15:00
1152246,ALB,440700296.216823,78857499.738496,2020-03-20 19:30:00
1152247,ALB,468053569.32702,83075492.867905,2020-03-20 19:45:00
1152248,ALB,489307508.081182,83823658.522259,2020-03-20 20:00:00
1152249,ALB,531560306.388135,86168775.912808,2020-03-20 20:15:00
1152250,ALB,552883018.569446,99007131.211129,2020-03-20 20:30:00
1152251,ALB,554584293.486767,94265096.573575,2020-03-20 20:45:00
1152252,ALB,563248073.872347,95504448.587771,2020-03-20 21:00:00
1152253,ALB,548012407.390675,90107356.998305,2020-03-20 21:15:00
1152254,ALB,571708365.85053,90461975.866395,2020-03-20 21:30:00
1152255,ALB,579342005.541084,84054708.914717,2020-03-20 21:45:00
1152256,ALB,551678412.518383,88416540.672418,2020-03-20 22:00:00
1152257,ALB,538377174.080395,108068271.588118,2020-03-20 22:15:00
1152258,ALB,536187483.750896,90056331.4206,2020-03-20 22:30:00
1152259,ALB,508962221.096112,83010019.838629,2020-03-20 22:45:00
1152260,ALB,496048995.400641,72902254.238287,2020-03-20 23:00:00
1152261,ALB,462467596.550742,82627428.013454,2020-03-20 23:15:00
1152262,ALB,418114494.161672,70465238.394526,2020-03-20 23:30:00
1152263,ALB,385067233.602973,78659398.468743,2020-03-20 23:45:00
1153608,ALB,356288771.285535,79502305.270412,2020-03-21 00:00:00
1153609,ALB,338935314.941032,83138235.56176,2020-03-21 00:15:00
1153610,ALB,302444342.222766,61903723.534311,2020-03-21 00:30:00
1153611,ALB,269868854.829038,63650730.375834,2020-03-21 00:45:00
1153612,ALB,243070501.670093,50469726.769191,2020-03-21 01:00:00
1153613,ALB,227421854.242153,77096438.816524,2020-03-21 01:15:00
1153614,ALB,222605187.233348,70548122.913543,2020-03-21 01:30:00
1153615,ALB,202927976.879528,49520887.010753,2020-03-21 01:45:00
1153616,ALB,188016008.853085,53417270.079726,2020-03-21 02:00:00
1153617,ALB,184606387.090529,75977807.548037,2020-03-21 02:15:00
1153618,ALB,186037133.537289,70578925.100164,2020-03-21 02:30:00
1153619,ALB,174016583.761071,74027009.130631,2020-03-21 02:45:00
1153620,ALB,163521050.221061,63397550.491006,2020-03-21 03:00:00
1153621,ALB,158111569.865504,63545091.386229,2020-03-21 03:15:00
1153622,ALB,147428953.353067,68365990.111184,2020-03-21 03:30:00
1153623,ALB,149430536.965734,70635123.557042,2020-03-21 03:45:00
1153624,ALB,137777228.812109,73297592.380052,2020-03-21 04:00:00
1153625,ALB,133381172.098657,73407297.2545,2020-03-21 04:15:00
1153626,ALB,127615744.32007,78990365.984371,2020-03-21 04:30:00
1153627,ALB,127060680.049195,65080542.280383,2020-03-21 04:45:00
1153628,ALB,125197700.083145,61749297.922856,2020-03-21 05:00:00
1153629,ALB,122231389.992779,48312047.114595,2020-03-21 05:15:00
1153630,ALB,120829696.019525,44757237.017352,2020-03-21 05:30:00
1153631,ALB,126076071.988849,64186825.281482,2020-03-21 05:45:00
1153632,ALB,121166917.583783,44828309.745797,2020-03-21 06:00:00
1153633,ALB,125171514.626477,72139116.710021,2020-03-21 06:15:00
1153634,ALB,136477192.277237,80491940.938231,2020-03-21 06:30:00
1153635,ALB,137242353.484543,75979293.48196,2020-03-21 06:45:00
1153636,ALB,140481187.076255,78883460.893148,2020-03-21 07:00:00
1153637,ALB,151817514.460939,76733652.239615,2020-03-21 07:15:00
1153638,ALB,158367637.862789,61008391.289121,2020-03-21 07:30:00
1153639,ALB,158264212.170916,84466540.973888,2020-03-21 07:45:00
1153640,ALB,185642818.945952,90085057.778599,2020-03-21 08:00:00
1153641,ALB,204235043.335223,83469276.87672,2020-03-21 08:15:00
1153642,ALB,218886157.774794,83221741.350728,2020-03-21 08:30:00
1153643,ALB,203183294.107753,82211443.416081,2020-03-21 08:45:00
1153644,ALB,214512504.122238,87073832.31361,2020-03-21 09:00:00
1153645,ALB,226091809.792777,83719292.867239,2020-03-21 09:15:00
1153646,ALB,239514951.497475,81864471.992728,2020-03-21 09:30:00
1153647,ALB,281095378.118161,86774033.336152,2020-03-21 09:45:00
1153648,ALB,263004026.520071,91710490.674793,2020-03-21 10:00:00
1153649,ALB,287575038.630761,83937539.920292,2020-03-21 10:15:00
1153650,ALB,304404569.696224,96520611.411281,2020-03-21 10:30:00
1153651,ALB,309364320.954734,91475821.14503,2020-03-21 10:45:00
1153652,ALB,293153280.406271,84028474.771553,2020-03-21 11:00:00
1153653,ALB,291722021.045037,94246708.145106,2020-03-21 11:15:00
1153654,ALB,321126227.377828,67613477.129021,2020-03-21 11:30:00
1153655,ALB,295873823.759279,57421181.08138,2020-03-21 11:45:00
1153656,ALB,301440626.879021,31430852.58507,2020-03-21 12:00:00
1153657,ALB,308636314.825869,34822375.074673,2020-03-21 12:15:00
1153658,ALB,330217379.716068,31903292.435146,2020-03-21 12:30:00
1153659,ALB,332522942.549173,35208238.374169,2020-03-21 12:45:00
1153660,ALB,349744554.929126,35447064.831871,2020-03-21 13:00:00
1153661,ALB,370042395.332931,44174852.921217,2020-03-21 13:15:00
1153662,ALB,384702168.766038,47102633.864608,2020-03-21 13:30:00
1153663,ALB,383457750.963354,41653685.772544,2020-03-21 13:45:00
1153664,ALB,382579179.8117,31534540.286429,2020-03-21 14:00:00
1153665,ALB,366570985.761165,32950794.238559,2020-03-21 14:15:00
1153666,ALB,369351527.907354,33873188.332542,2020-03-21 14:30:00
1153667,ALB,398857879.466389,48064372.417673,2020-03-21 14:45:00
1153668,ALB,382267320.025133,55950031.343383,2020-03-21 15:00:00
1153669,ALB,370603565.263584,68159730.77574,2020-03-21 15:15:00
1153670,ALB,376044844.96679,65291349.688755,2020-03-21 15:30:00
1153671,ALB,391046047.735608,55702585.555166,2020-03-21 15:45:00
1153672,ALB,423174171.652702,45092230.369398,2020-03-21 16:00:00
1153673,ALB,410962597.861705,57408666.072682,2020-03-21 16:15:00
1153674,ALB,426826342.342948,61336572.284266,2020-03-21 16:30:00
1153675,ALB,461421705.265513,62426306.401719,2020-03-21 16:45:00
1153676,ALB,496411173.678957,62568002.858637,2020-03-21 17:00:00
1153677,ALB,429377671.197017,72632299.252162,2020-03-21 17:15:00
1153678,ALB,408831984.524358,83484149.501927,2020-03-21 17:30:00
1153679,ALB,392569905.313735,76814023.331673,2020-03-21 17:45:00
1153680,ALB,398118070.388912,52729992.832707,2020-03-21 18:00:00
1153681,ALB,411383901.851902,51177644.330911,2020-03-21 18:15:00
1153682,ALB,431904306.910267,58129828.480132,2020-03-21 18:30:00
1153683,ALB,429015514.804394,50804722.318019,2020-03-21 18:45:00
1153684,ALB,456023676.541836,45678233.662202,2020-03-21 19:00:00
1153685,ALB,454246966.548775,60581266.182497,2020-03-21 19:15:00
1153686,ALB,492330659.213255,73024331.531409,2020-03-21 19:30:00
1153687,ALB,514973660.462505,91750304.420245,2020-03-21 19:45:00
1153688,ALB,522132256.146608,91130539.422715,2020-03-21 20:00:00
1153689,ALB,543846967.32193,106111128.676315,2020-03-21 20:15:00
1153690,ALB,563095596.687252,114443182.768735,2020-03-21 20:30:00
1153691,ALB,586431286.830153,115170334.061712,2020-03-21 20:45:00
1153692,ALB,591261935.351663,112733376.124732,2020-03-21 21:00:00
1153693,ALB,591216908.517171,118701469.253906,2020-03-21 21:15:00
1153694,ALB,597503225.522993,119786763.727802,2020-03-21 21:30:00
1153695,ALB,602000933.827402,103498297.482224,2020-03-21 21:45:00
1153696,ALB,575539597.054118,96692255.910032,2020-03-21 22:00:00
1153697,ALB,544785321.443504,95076984.147807,2020-03-21 22:15:00
1153698,ALB,538297484.365149,76008207.462639,2020-03-21 22:30:00
1153699,ALB,539429786.563063,70321410.795299,2020-03-21 22:45:00
1153700,ALB,535898417.716481,68089169.131315,2020-03-21 23:00:00
1153701,ALB,491109664.095726,70700104.340986,2020-03-21 23:15:00
1153702,ALB,435390340.480317,69097526.253367,2020-03-21 23:30:00
1153703,ALB,448548602.799116,75454748.338744,2020-03-21 23:45:00
1155048,ALB,444027043.65729,74738368.903113,2020-03-22 00:00:00
1155049,ALB,410227186.301747,93272787.745398,2020-03-22 00:15:00
1155050,ALB,367650943.472188,95730478.986404,2020-03-22 00:30:00
1155051,ALB,326417348.718165,77436132.947566,2020-03-22 00:45:00
1155052,ALB,287121307.727222,30067445.333281,2020-03-22 01:00:00
1155053,ALB,257996352.312172,59145096.208542,2020-03-22 01:15:00
1155054,ALB,239457270.572146,57683215.899668,2020-03-22 01:30:00
1155055,ALB,222698414.138434,46312440.733594,2020-03-22 01:45:00
1155056,ALB,205952549.887233,58380068.08139,2020-03-22 02:00:00
1155057,ALB,185755640.766861,48895754.611947,2020-03-22 02:15:00
